service_name,organisation_name,description,address,categories,email,website,facebook,phone,facilities,access_options,opening_times,accreditation 
Eastside Foodbank,Eastside Foodbank,Provision of essential items usually consisting of three days worth of food to people in financial crisis.,"Mount Zion Baptist Church,Mansel Road,Bonymaen,SA1 7AU","Community,Health and social care",eastsidefoodbank@gmail.com,,,01792 412755,"Toilets,Kitchen,Parking,Disabled access,Hearing loop,Disabled toilet",Agency referral,,
"The Parochial Church Council, Parish of Clydach","The Parochial Church Council, Parish of Clydach",Church services and groups,"St Marys Church,Clydach,Swansea,SA6 5LG","Community,Religion",griffjen25@hotmail.com,,,01792 842782,"Toilets,Parking,Disabled access",Drop in,,
Forget Me Not Dementia Day Club Killay,Forget Me Not Dementia Day Clubs,"Bringing people with dementia and carers into a socially enjoyable environment. Our aim is to hold day clubs for people with dementia and their carers to meet in a social environment in a local base: to give the person with dementia and their carer an opportunity for friendship, continued access to social life and to have enjoyment in life.The Clubs are run by volunteers, and this will hopefully integrate the people with dementia and their carers into the local community. The idea is that friendships will grow and thus as the carer becomes more and more isolated they will have someone to phone to talk to or meet for a cup of tea.What do we do in the Clubs? Games, dominoes, arts and crafts, snooker, quizzes and trips.","Siloam Baptist Church,Goetre Fach Road,Killay,SA1 9EA","Older People,Mental Health,Health and social care",contact@forgetmenotclubs.com,,,01792 204725,Disabled access,"Drop in,By appointment only",,
Topic House Older People's Information Centre,Topic House - Older People's Information Centre,"The Topic Older People's Information Centre provides older people and carers with easy access to information, advice and support. It brings people together, encourages active citizenship and promotes well-being.","Topic House,56 - 58 Teilo Crescent,Swansea,SA1 6FX","Older People,Mental Health,Advice and advocacy,Community,Disability,Health and social care",topichouse@hotmail.co.uk,,,01792 642237,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Internet  (no wifi)","Drop in,Self referrral,By appointment only",,
Dyfed Powys Police and Autism Cymru - Emergency Card Scheme,Dyfed Powys Police and Autism Cymru - Emergency Card Scheme,"Autism Cymru and the Dyfed Powys Police Force have worked collaboratively to create the ASD Emergency Card Scheme. If someone with ASD has any dealings with the Dyfed Powys Police Force they can show this card to alert officers to their needs so that they are better met, and they are responded to with understanding, compassion and dignity. Here is the linkhttp://www.asdinfowales.co.uk/home.php?page_id=6406 and below are the details regarding application for the card:ASD EMERGENCY CARD SCHEMEASD Attention Card to Individuals with Autism If they come into contact with the emergency services Dyfed Powys Police, in conjunction with Autism Cymru, have launched a card for individuals with autism, including Asperger Syndrome, in the area. Individuals on the autistic spectrum may become involved with the criminal justice system as a consequence of their vulnerability or due to their social and communication difficulties. If somebody with autism comes into contact with any emergency service, they can produce the credit card size ASD Attention Card which will not only inform the professional that they have autism but also offer pointers on how to communicate with them more effectively:1. ASD is a disability2. I may need access to an intermediary3. Please ask questions one at a time4. Please tell me step by step what is to happen.The card also provides telephone numbers for emergency service personnel to call for further advice,support and information about autism.Contact InformationContact: Birgit VilleneuveAddress: Autism Cymru 62, Newport Road, Cardiff CF24 0DFE-mail: buv@autismcymru.orgTel: 02920 464 940 The National Autistic Society have also developed a card for people with ASD to purchase for a nominal fee. Here is the link for further information regarding this initiative:http://www.autism.org.uk/cardThe NAS Autism Helpline 0808 800 4104 (open Monday-Friday 10am-4pm), has a list of specialists who are expert in this area of work. Please also see the criminal justice professionals section of The National Autistic Society website at www.autism.org.uk/cj","Autism Cymru 62,,Newport Road,,Cardiff,CF240DF","Mental Health,Advice and advocacy,Community,Education and training,Health and social care",buv@autismcymru.org,,,02920 464 940.,,,,
Musical Memories Choirs,Red Cafe - A Project of Linden Church,/Users/TheHunterellies/Desktop/Musical Memories 2 reduced file size .pdf,"Linden Church,Elmgrove Road,West Cross,SA3 5LD","Older People,Mental Health,Health and social care",helen@redcafe.org.uk,http://www.redcafe.org.uk,,01792 362122,"Toilets,Kitchen,Parking,Disabled access,Disabled toilet","Drop in,Self referrral,Agency referral","'Manselton, Christwell Church, Manselton Road, Manselton, SA5 8PW - Tuesday 11am - 12 for singing together followed by lunch in the community cafe on site. 

West Cross - Linden Church, Elm Grove Road, West Cross SA3 5LD - Friday 11am - 12 for singing followed by a shared lunch. 

Both choirs are free of charge, in Manselton we buy lunch form the community cafe, in West Cross a donation is welcome. ",
Music Technology EOTAS Pathways,Red Cafe - A Project of Linden Church,"Education Other Than At School in music technology. Referrals through, Learning Pathways, CCS","Red Cafe,646 Mumbles Road,Swansea,SA3 4EA","Arts/Culture/Heritage,Education and training,Youth",,,,01792 362122,"Toilets,Kitchen,Internet (wifi),Disabled access,Disabled toilet","Self referrral,Agency referral",,
Open access youth nights,Red Cafe - A Project of Linden Church,"Drop in for 11-18 year olds. Contact: Dan Evans, dan@redcafe.org.uk","Red Cafe,646 Mumbles Road,Swansea,SA3 4EA","Sport and recreation,Youth",,,,01792 362122,"Toilets,Kitchen,Internet (wifi),Disabled access,Disabled toilet",Drop in,,
Remember Me,Red Cafe - A Project of Linden Church,Day Centre care for people living with dementia.,"Norton Lodge Day Centre,Swansea,SA3 5TQ","Older People,Mental Health,Health and social care",helen@redcafe.org.uk,,,,"Toilets,Disabled access,Disabled toilet","Self referrral,Agency referral",,
Spotlight,Red Cafe - A Project of Linden Church,"Film projects for young people (and some jointly with older people.) Contact: Dan@redcafe.org.uk","Red Cafe,646 Mumbles Road,Swansea,SA3 4EA","Older People,Arts/Culture/Heritage,Youth",,,,01792 362122,"Toilets,Kitchen,Internet (wifi),Disabled access,Disabled toilet",By appointment only,,
Swansea Foodbank,Red Cafe - A Project of Linden Church,"We provide emergency food parcels for people in crisis. Contact Kristina Williams : info@swansea.foodbank.org.uk 07815534095","Red Cafe,646 Mumbles Road,Swansea,SA3 4EA","Children and Families,Health and social care",,,,01792 362122,"Toilets,Kitchen,Internet (wifi),Disabled access,Disabled toilet","Self referrral,Agency referral",,
Transition,Red Cafe - A Project of Linden Church,Support for people leaving prison and returning to Swansea. Contact: Julie Perrins julie@lindenchurch.com,"Red Cafe,646 Mumbles Road,Swansea,SA3 4EA","Community justice,Employment,Housing",,,,01792 362122,"Toilets,Kitchen,Internet (wifi),Disabled access,Disabled toilet","Self referrral,Agency referral",,
Young Persons Group 12 - 19 year olds,Morriston Playscheme,"Young persons volunteering group supports play schemes, offers formal training","Morriston Memorial Hall,Heol Gwernen,Morriston,SA6 6JR","Children and Families,Education and training,Youth",,,,07763 560625,"Toilets,Disabled access,Disabled toilet",Drop in,,
Friends of Parc Williams Group activities,"Friends of Parc Williams, Loughor","We are an active Friends groups who play an important role in helping the local authority to develop and improve this key community facility. We organise the following activities:Litter collection, dog walking group, community help - art class , castle maintenance, Nordic walking","Parc Williams,Castle Street,Loughor,SA4 6TU","Arts/Culture/Heritage,Community,Environment,Sport and recreation",eileen.bartlett09@talktalk.net,,,01554 227994,Disabled access,Drop in,,
Menter Iaith,Menter Iaith,"Youth support services, Welsh medium, children and families services, rhyme time, training for staff, coffee mornings, translation, Welsh folk music session, playgroups","Ty Tawe,9 Christina Street,Swansea,SA1 4EW","Children and Families,Youth",swyddfa@menterabertawe.cymru,,,01792 460906,,By appointment only,,
Cornerstone Church Little Rascals,Cornerstone Church,"Little Rascals is a Mother, Toddler and Baby Group","Cornerstone Church,32 Mynydd Newydd Road,Swansea,SA5 5AE","Children and Families,Religion",info@cornerstonechurch.co.uk,,,01792 516031,"Toilets,Parking,Disabled access,Disabled toilet",,,
Cornerstone Church Service,Cornerstone Church,Tea and coffee followed by church service,"2 Neath Road,Swansea,SA6 8EF","Community,Religion",info@cornerstonechurch.co.uk,,,01792 516031,"Toilets,Internet (wifi),Parking,Disabled access,Disabled toilet",Drop in,,
Cornerstone Church Youth Club,Cornerstone Church,Cornerstone Church run a Youth group for 11 - 16 year olds,"2 Neath Road,Swansea,SA6 8EF","Religion,Youth",info@cornerstonechurch.co.uk,,,01792 516031,"Toilets,Internet (wifi),Parking,Disabled access,Disabled toilet",Drop in,,
Helplines,Arthritis Care,"Our Helplines offer free, confidential information on all aspects of living with arthritis. We also offer a range of publications which can be accessed through Helplines or downloaded from our website www.arthritiscare.org.uk .",,"Older People,Mental Health,Advice and advocacy,Children and Families,Community,Disability,Education and training,Employment,Health and social care,Sport and recreation,Volunteering,Youth",helplines@arthritiscare.org.uk,,,0808 800 4050,,Self referrral,,
Bi Swansea Peer support and social meets,Bi Swansea,"Monthly meet for bisexual people and allies. Bi Swansea is a peer support and networking group, run by people attracted to more than one gender for people attracted to more than one gender in the Swansea area. We meet to discuss bi issues and events and network and discuss issues in a safe environment. Monthly meets on 3rd Tuesday monthly in the back bar of Mozarts, Walter Road from 7.45pm. Ask for Ele in the main barMonthly family friendly coffee meets on the last Sunday monthly in KCs cafe 12 noon to 2pm. Note: when the last Sunday of the month is also Easter Sunday the venue moves to the cafe in the Waterfront Museum, Swansea. All other coffee meets are in KCs, including on bank holidays.Please check meet dates on our website: www.bicymru.org.uk or on the Bi Swansea group on Facebook before attending. As we are run entirely by volunteers meets can be cancelled if they clash with BiCon (the annual bisexual conference/convention in the UK) or other events, although this is rare and always planned at the start of the year.","Mozarts,76B Walter Road,Swansea,SA14QA",Community,BiSwansea1@yahoo.co.uk,,,Text only: 07982 308812 (please note this is not a staffed telephone number - we will respond to texts as soon as we can),"Toilets,Disabled access","Drop in,Self referrral",,
Living well with Arthritis,Arthritis Care,"Living well with arthritis covers a range of activities including self-management support, and providing information to members of the public. We also have a number of branches and groups across Wales who meet regularly for peer support. Please contact us for further details.","One Caspian Point,Pierhead Street,Cardiff,CF10 4DQ","Older People,Mental Health,Advice and advocacy,Disability,Employment,Sport and recreation,Volunteering",wales@arthritiscare.org.uk,,,02920 444 155,,Self referrral,,
Young People and Familes,Arthritis Care,"Arthritis Care's Young People and Families service seeks to support and empower those living with arthritis to live their lives. We organise social activities and catch up meetings, as well as offering a range of workshops and encourage peer-support. Please contact us for further details . Or check us out on Facebook.","One Caspian Point,Pierhead Street,Cardiff,CF10 4DQ","Mental Health,Arts/Culture/Heritage,Children and Families,Community,Disability,Education and training,Health and social care,Volunteering,Youth",wales@arthritiscare.org.uk,,,02920 444 155,,Self referrral,,
"Capoeira, Hall space for rent and Printing services",ILE CUltural Group,"Our community Studio is available to hire for meetings, parties, etc. We also provide Afro Brazilian Cultural classes mainly Capoeira and we are starting a new Printing Community services for t-shirts, Mugs, and another merchandises.","Unit4, 115 Abertawe House,Ystrad Road,Fforestfach,SA5 4JB","Arts/Culture/Heritage,Community,Education and training,Ethnic minorities,Sport and recreation",capoeiraswasea@gmail.com,,,07757116730,"Toilets,Dance floor,Parking",Drop in,,
The Play Library,The Play and Leisure Opportunity Library,We provide specialist toys and equipment to children and adults with a disability and their families and carers in a lending library service. We also offer specialist and therapeutic Stay and Play sessions. Individual play sessions can be arranged at home to help families with an identified issue for a 12 week programme.,"Mary Cave Day Centre,Manselton,Swansea,SA5 8PZ","Children and Families,Disability,Education and training",admin@plol.org.uk,,,07592781374,"Toilets,Kitchen,Dance floor,Parking,Disabled access,Disabled toilet,Internet  (no wifi)",By appointment only,,
The Enabled Project,The Enabled Project,"A project that provides services for 14-25 year old young disabled people in Swansea. We provide drop-in Youth Clubs in different venues around Swansea, independent life skills workshops and short pieces of 1:1 work to enabled confidence building so that the young people can fulfil their potential when moving from childhood to adult life.",,"Disability,Youth",pipenabled@gmail.com,,,01792 475938,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)",Agency referral,,
"Christ Well Community Project, The Well Community Cafe",Christ Well Community Project,"A Community CafÃ© on Tuesdays and Wednesdays to provide friendship. The Cafe is open to everyone regardless of ethnic or faith background, age, gender, or ability and disability etc and backgrounds and provides a healthy meal at a reasonable cost..","124-136 Manselton Road,Swansea,SA5 8PW","Older People,Community,Health and social care",christ.well@ntlbusiness.com,,,01792 415222,"Toilets,Parking,Disabled access,Disabled toilet","Drop in,Self referrral",,
"Christ Well Community Project, Children's Clubs",Christ Well Community Project,Friendly games and crafts for children aged 5-7 and 8-11 Please contact Rosie Buxton for more information,"124-136 Manselton Road,Swansea,SA5 8PW","Children and Families,Sport and recreation",christ.well@ntlbusiness.com,,,01792 415222,"Toilets,Parking,Disabled access,Disabled toilet",By appointment only,,
"Christ Well Community Project, Health Support Group",Christ Well Community Project,"A social group for elderly and those with chronic needs who would like to make friends in a gentle social friendship group. Open to anyone, but there is no specific health professional or qualified support - it is a friendship group","124-136 Manselton Road,Swansea,SA5 8PW","Older People,Mental Health,Health and social care",christ.well@ntlbusiness.com,,,01792 415222,"Toilets,Parking,Disabled access,Disabled toilet","Drop in,Self referrral,Agency referral",,
"Christ Well Community Project, Parent Carer's and Toddlers and Welsh parents and toddlers",Christ Well Community Project,"A weekly, 2 hours social get together with play facilities for under school age children.  Contact Suzanne Berkeley - Manager","124-136 Manselton Road,Swansea,SA5 8PW",Children and Families,christ.well@ntlbusiness.com,,,01792 415222,"Toilets,Parking,Disabled access,Disabled toilet","Drop in,Self referrral,Agency referral,By appointment only",,
Christ Well Community Project Playgroup,Christ Well Community Project,"Registered playgroup for ages 2 to school age, with guided play and school preparation.Open to children aged 2 to 5 regardless of background, gender, ability and disability. Contact Suzanne Berkeley to find out about available places","124-136 Manselton Road,Swansea,SA5 8PW",Children and Families,christ.well@ntlbusiness.com,,,01792 415222,"Toilets,Parking,Disabled access,Disabled toilet",By appointment only,,
Christ Well Community Project Welsh Learners and Speakers Cafe,Christ Well Community Project,"A free, friendly welcoming cafÃ© for people wanting to practise welsh speaking with support. (CafÃ© open and drinks available at reasonable cost but not required)","124-136 Manselton Road,Swansea,SA5 8PW","Education and training,Sport and recreation",christ.well@ntlbusiness.com,,,01792 415222,"Toilets,Parking,Disabled access,Disabled toilet",Drop in,,
Swansea Mind,Swansea Mind,"We are a registered charity that works with, and for, people who experience mental health problems.We aim to work towards a mental health service that is based on the wishes, needs and rights of people who use the service. We support and empower people with mental health problems, assist in developing good practice"" in mental health services","66 St Helens Road,Swansea,SA1 4BE","Mental Health,Health and social care",admin@swanseamind.org.uk,,,01792 642999,"Toilets,Kitchen,Disabled access,Disabled toilet,Internet  (no wifi)","Drop in,Self referrral,Agency referral",,
Uplands Market,Uplands Market,"The Uplands Market is a monthly street markets selling a huge range of Welsh produce from beautiful hand-made items to delicious fresh food. It celebrates local produce and encourages a healthy lifestyle by bring a wide array of food to the community. In addition to food and crafts, there is also a Do Not Go Gentle Festival stage where people can listen to poetry and music. There is also the opportunity to help out at the market and be one of the volunteers.","Gwydr Square,Uplands,Swansea,SA2 0HD","Arts/Culture/Heritage,Community",info@uplandsmarket.com,,,,Toilets,Drop in,,
Torch Trust Friendship and Support,Torch Trust (for the Blind),A monthly meeting giving access to all but with special support for the Blind and Visually-Impaired,"Pantygwydr Baptist Church,Ernald Place,Uplands,SA2 0HN","Older People,Mental Health,Disability,Health and social care",Verena@walders75.co.uk,,,01792 363094,"Toilets,Disabled access",Drop in,,
National Coastwatch Institution,National Coastwatch Institution,"To act as the eyes and ears of the emergency services. To improve the safety of users of the beaches, coastal paths, Worms Head and inshore waters. To alert the Maritime and Coastguard Agency in the case any emergency or potential danger.","The Old Coastguard Lookout,Rhossili,Gower,SA3 1PR",Environment,manager@nciwormshead.org.uk,,,01792 391117,,Drop in,,
Circus Eruption,Circus Eruption,"Circus Eruption exists to promote the social inclusion and integration of young people aged 11 to 19 through the medium of circus skills. Our main aims are integration, inclusion, participation, the learning of new skills in a safe environment, empowerment, creative expression, and the challenging of inequality, disadvantage and discrimination. We have noticed, with an astonishing degree of consistency, that our specific combination of different elements a non-competitive environment for learning, engagement in supported risk-management, experience of teamwork and co-operation, and opportunities for peer learning and teaching - leads to powerful and positive outcomes in terms of impact on young people and their lives. They gain in confidence and self-esteem. They become able to label themselves according to ability rather than disability - they become practiced at saying ""I can"" rather than ""I can't"". The integrated nature of Circus Eruption means that young people experience a non-judgemental and accepting environment, where they're encouraged to develop positive attitudes towards others and respect for diversity. Our project is participative - young people have a say in how the project is run. They understand rights and responsibilities and put democracy into practice. This leads to empowered young people who flourish as active citizens and understand how they can make a difference in the world. Though there are other youth circuses out there, they tend to focus on providing high standard skills and polished performances. Our strength lies in the impact we have on young people's lives. ""Social circus"" is becoming increasingly recognised as an important tool for engaging marginalised or disadvantaged groups, and we are keeping up with the movement.","Unit 10,Parc Tawe,Swansea,SA1 2AS","Mental Health,Disability,Sport and recreation,Youth",volunteer@circuseruption.co.uk,,,01792 474004,"Toilets,Kitchen,Internet (wifi),Parking,Disabled access,Disabled toilet","Drop in,Self referrral,Agency referral",,
BikeAbility Wales,BikeAbility Wales,"Provision of inclusive cycle opportunities for people of all ages and abilities. Includes provision of: - A range of specialist and conventional cycles at our venue and at outreach events - Trained staff and volunteers to set up cycles to suit clients needs - Cycle coaching and training from complete beginners through to provision of National Cycle Standards Level 1 to 3. - Our service to schools, day centres, youth clubs, National Health Service departments, Local Authority Departments, general public.","Dunvant Rugby Club,Dunvant,Swansea,SA2 7RU","Disability,Sport and recreation",bikeabilitywales@ymail.com,,,07968109145 / 07584044284,,"Drop in,By appointment only",,
West Wales Dyslexia Association,West Wales Dyslexia Association,Provides help for everyone wishing to find out more about dyslexia.,,"Disability,Health and social care",westwalesdyslexia@gmail.com,,,Helpline 07702665799,,,,
BME Voice Project,Ethnic Minorities & Youth Support Team Wales,"Support, including training and one-to-one support to engage BME people in the Healthy City Agenda","Unit C,11 St Helens Road,Swansea,SA1 4AB","Ethnic minorities,Youth",aliya@eyst.org.uk,,,01792 466980,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)",By appointment only,,
"Bridging Cultures, Strengthening Families Project",Ethnic Minorities & Youth Support Team Wales,We provide support to BME Children and Young People facing cultural confict issues,"Unit B,11 St Helens Road,Swansea,SA1 4AB","Ethnic minorities,Youth",helal@eyst.org.uk,,,01792 466980,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)","Self referrral,Agency referral,By appointment only",,
Family Link Service,Ethnic Minorities & Youth Support Team Wales,Support for BME young people aged 11 to 25 and their families,"Unit B,11 St Helens Road,Swansea,SA1 4AB","Ethnic minorities,Youth",shahab@eyst.org.uk,,,01792 466980,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)","Self referrral,Agency referral",,
BME Girls Project,Ethnic Minorities & Youth Support Team Wales,Support to BME young Female to raise their educational and career aspirations,"Unit B,11 St Helens Road,Swansea,SA1 4AB","Ethnic minorities,Youth",helen@eyst.org.uk,,,01792 466980,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)","Self referrral,Agency referral",,
The Roots Foundation Wales,The Roots Foundation Wales,"An organisation that supports those who have direct experience of the care system, those in care, leaving care, and those in kinship care.","The Hut,Llwyn Deri Hall,Ravenhill Road,SA5 5AW","Mental Health,Children and Families,Health and social care,Youth",admin@therootsfoundationwales.org.uk,,,07516 522360,"Toilets,Kitchen,Parking,Disabled access","Drop in,Self referrral,Agency referral,By appointment only",,
Ty Fforest Community House,The Roots Foundation Wales,"An organisation voluntary led by local residents - which offers adult education classes. afterschool clubs, youth clubs, lunch and breakfast clubs, play schemes. activities, and events.","12-14 Rhodfa'r Brain,Ravenhill,Swansea,SA5 5EB","Older People,Children and Families,Community,Disability,Education and training,Sport and recreation,Youth",ty-fforest-community-house@hotmail.co.uk,,,01792 579572,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)",Drop in,,
Open Access,Sands Cymru,"An open access centre, open 5 days a week that offers support and advice to people affected by drugs and / or alcohol. People do not need an appointment and there are always duty workers available to see them for help.","73/74 Mansel Street,Swansea,SA1 5TR","Children and Families,Health and social care",info@sandscymru.org,,,01792 472002,"Toilets,IT,Disabled access,Disabled toilet,Internet  (no wifi)",Drop in,,
Sands Cymru Family Services,Sands Cymru,"Providing harm reduction advice relating to drug and / or alcohol use to people with children. The children may or may not be resident with the parents to access the service. Practical support, such as positive parenting and practical parenting available.","73/74 Mansel Street,Swansea,SA1 5TR","Advice and advocacy,Children and Families,Education and training,Health and social care",info@sandscymru.org,,,01792 472002,"Toilets,IT,Disabled access,Disabled toilet,Internet  (no wifi)","Drop in,Self referrral,Agency referral,By appointment only",,
Links2Recovery,Sands Cymru,"A Big Lottery Funded programme to help people over come barriers to improve their self esteem, self confidence and become more involved in their community. Variety of options such as 1 to 1 work, groups, courses and activities.","73/74 Mansel Street,Swansea,SA1 5TR","Mental Health,Children and Families,Education and training,Health and social care",info@sandscymru.org,,,01792 472002,"Toilets,IT,Disabled access,Disabled toilet,Internet  (no wifi)","Drop in,Self referrral,Agency referral,By appointment only",,
Needle Exchange Programme,Sands Cymru,"Confidential and free service. Clean equipment available for injecting such as needles, cookers, disposal bins. Also foil for smoking. Safe disposal of used equipment available.","73/74 Mansel Street,Swansea,SA1 5TR","Advice and advocacy,Children and Families,Health and social care",info@sandscymru.org,,,01792 472002,"Toilets,IT,Disabled access,Disabled toilet,Internet  (no wifi)",Drop in,,
SMART Recovery,Sands Cymru,Group sessions focusing on giving people the tools to manage their recovery from their addictive behaviour. Generally drug and alcohol but can be any addictive behaviour.,"73/74 Mansel Street,Swansea,SA1 5TR","Advice and advocacy,Children and Families,Health and social care",info@sandscymru.org,,,01792 472002,"Toilets,IT,Disabled access,Disabled toilet,Internet  (no wifi)",Drop in,,
Tenancy Support,Sands Cymru,Tenancy support provided to people who at risk of losing their home. Practical help and advice. Benefits work.,"73/74 Mansel Street,Swansea,SA1 5TR","Children and Families,Health and social care,Housing",info@sandscymru.org,,,01792 472002,"Toilets,IT,Disabled access,Disabled toilet,Internet  (no wifi)","Self referrral,Agency referral",,
The Place,Sands Cymru,"Young person specific service based at Info-Nation on the Kingsway for people aged 11years to 25 years. Looking at harm reduction, support and advice on drugs and / or alcohol issues. Plus education, prevention work and diversionary activities.","Info-Nation,47 The Kingsway,Swansea,SA1 5HG","Health and social care,Youth",info@Sandscymru.org,,,01792 472002,,"Drop in,By appointment only",,
Access Group,Swansea Access For Everyone,We give advice on physical access to the built environment. Advice is given to those who wish to provide full access and to anyone who is experiencing difficulties with access issues.,,"Advice and advocacy,Disability,Health and social care",safeswansea@hotmail.co.uk,,,,,,,
Shaw Trust Work Choice,Shaw Trust,"What is Work Choice? Work Choice is a voluntary, Government supported employment programme designed specifically for people who, due to their disability, may find it difficult to find or stay in work. The programme is flexible and is tailored to the customer's individual needs, helping them to identify the right job opportunities, apply for work and move into employment. We also offer ongoing support once that customer is in work. Who is eligible? Our customers qualify if they are disabled as defined by the Equalities Act 2010 and their disability means that they face significant barriers to work, such as Complex work-related support needs arising primarily from disability Requirements in work which cannot immediately be overcome through workplace adjustments A need for support in work as well as help with finding work and cannot be helped through other DWP programmes. If they are at risk of losing their job because of a disability or have recently left education and have demonstrated a need for support in work","The kingsway centre,3rd Floor, 37-38 The Kingsway,Swansea,SA1 5LF","Disability,Education and training,Employment",workchoicedirect@shaw-trust.org.uk,,,,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)",Agency referral,,
Discovery Community Development,Discovery,"Providing services that enrich the lives of disadvantaged people, challenge discrimination and support people who live with a disability. Activities take place off site.","Fulton House,Swansea University,Singleton Park,SA2 8PP","Community,Disability,Ethnic minorities",discovery@swansea.ac.uk,,,01792 295743,"Toilets,Parking,Disabled access,Disabled toilet","Drop in,Self referrral,Agency referral,By appointment only",,
Youth and Community Support Services,YMCA Swansea,"YMCA Swansea works to tackle poverty, promote wellbeing and learning, and is driven by equality. We focus on giving young people a safe, supportive place to come and help them fulfil their potential. Our organisation is powered by Social Enterprise. As well as our community work we run a thriving gym and offer a varied range of fitness classes, as well as affordable venue hire solutions.","1 The Kingsway,Swansea,Swansea,SA1 5JQ","Sport and recreation,Youth",info@swanseaymca.org.uk,,,01792 652032,"Toilets,Kitchen,Internet (wifi),Dance floor,Disabled access,Disabled toilet,Internet  (no wifi)","Drop in,Self referrral,Agency referral,By appointment only",,
Prison Advice and Care Trust PACT,Prison Advice and Care Trust,Family and resettlement support for prisoners and their loved ones,"HMP Swansea,200 Oystermouth Road,Swansea,SA1 3SR","Advice and advocacy,Children and Families,Community justice",joanne.mulcahy@hmps.gsi.gov.uk,,,01792 485458,Toilets,"Self referrral,Agency referral",,
Burnsfitness,High Street Community Leisure Ltd,We provide gym and fitness facilities in the High Street area on the same basis as we have since 1982. Our small cash flow allows for regular amounts of cash to be sent to Crug Glas School plus tickets to Circus Starr for their pupils. We provide a service which sets a good example to people from the lower income bracket as well as presenting positive lifestyle choices via a consistent format as well as encouragement to form discipline and achievable ambition targets. A genuine bridge is formed for people of varied racial backgrounds to inter relate on a close basis enabling improved mutual understanding and often friendship.,"35 Mariner Street,Swansea,SA1 5BA","Health and social care,Sport and recreation",claire@burnsfitness.com,,,01792459282,"Toilets,Internet (wifi),Dance floor,Parking","Drop in,Self referrral,Agency referral",,
Staying Home,Gibran(UK) Ltd,"Support for men and women to prevent offending and re-offending. Support for housing, benefits, debt, relationships etc We do NOT work with people who have an active issue with alcohol or drugs.","Postal address,Suite 3-4 Llanover Business Park,Abergavenny,NP7 9HA","Advice and advocacy,Community justice,Housing",jjames@gibran.org.uk,,,01873 880976,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet","Self referrral,Agency referral",,
Maggie's Centre Swansea,Maggie's Centre Swansea,"Maggie's Swansea provides free practical, emotional and social support for people with cancer and their family and friends. There's no need to make an appointment at Maggie's Swansea, you can simply drop in whenever you want, for as long as you need.","Maggie's,Singleton Hospital,Sketty Lane,SA2 8QL",Health and social care,sarah.hughes@maggiescentres.org,,,01792 200001,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access",Drop in,,
Residential Drug and Alcohol Recovery,Haventrust Supporting People LTD,We offer residential accommodation supporting male SU's in abstinent drug and alcohol recovery and provide everything required for day to day living.,"Plasmarl House,331,Neath Road,SA6 8JU","Mental Health,Health and social care,Housing",patbushell@haventrust.org,,,01792 799804,"Toilets,Kitchen,Internet (wifi),Internet  (no wifi)",By appointment only,,
Lifelong Learning and Employment Training Service - Work based Learning,Lifelong Learning and Employment Training Service,Work based learning training provider delivering apprenticeships funded by the Welsh Government for 16 - 24 year olds plus higher apprenticeships for any age group.,"Unit 1 and 2,Jubilee Court,Swansea West Industrial Park,SA5 4HB","Education and training,Employment,Youth",employment.training@swansea.gov.uk,,,01792 482600,"Toilets,IT,Parking,Disabled access,Internet  (no wifi)","Drop in,By appointment only",,
Lifelong Learning Employment Training - Adult Community Learning,Lifelong Learning and Employment Training Service,Adult community learning provides a range of different short courses within community venues across Swansea.,"Bryn House,78 Walter Road, Uplands,Swansea,SA1 4PS","Education and training,Employment",maggie.dix@swansea.gov.uk,,,01792 470171,,"Drop in,Self referrral,Agency referral,By appointment only",,
Interplay,Interplay,"Interplay provides integrated play and leisure opportunities for children and young people with special needs. e.g. Summer schemes, year round weekend events and specialist activities",,"Children and Families,Disability,Sport and recreation",admin@interplay.org.uk,,,01792 475938,,"Self referrral,Agency referral",,
St John's Ambulance Clydach Division First Aid,st john ambulance cymru clydach division,Event cover. Youth Training. First Aid Training for Communities.,"Clydach Primary School,Twyn-y-Bedw Road,Clydach,SA6 5ET","Education and training,Health and social care,Volunteering",june1001@hotmail.co.uk,,,01792 844973,"Toilets,Kitchen,Internet (wifi),Dance floor,Disabled toilet,Internet  (no wifi)","Drop in,By appointment only",,
